Date,Weight2
01/01/2022,4.0
02/01/2022,4.0
03/01/2022,4.0
04/01/2022,4.0
05/01/2022,2.9
06/01/2022,2.5
07/01/2022,2.5
08/01/2022,2.4
09/01/2022,2.3
10/01/2022,1.9
11/01/2022,2.0
12/01/2022,2.1
13/01/2022,1.9
14/01/2022,2.1
15/01/2022,2.0
16/01/2022,1.9
17/01/2022,1.5
18/01/2022,1.4
19/01/2022,1.9
20/01/2022,2.0
21/01/2022,1.9
22/01/2022,1.6
23/01/2022,1.6
24/01/2022,1.4
25/01/2022,1.4
26/01/2022,1.4
27/01/2022,1.4
28/01/2022,1.3
29/01/2022,1.2
30/01/2022,0.9
31/01/2022,0.9
01/02/2022,1.0
02/02/2022,1.3
03/02/2022,1.2
04/02/2022,1.2
05/02/2022,1.1
06/02/2022,1.2
07/02/2022,1.2
08/02/2022,1.8
09/02/2022,1.2
10/02/2022,1.5
11/02/2022,1.5
12/02/2022,1.9
13/02/2022,1.5
14/02/2022,1.3
15/02/2022,1.2
16/02/2022,0.7
17/02/2022,1.1
18/02/2022,-0.3
19/02/2022,-0.1
20/02/2022,0.1
21/02/2022,0.0
22/02/2022,0.2
23/02/2022,0.1
24/02/2022,0.1
25/02/2022,0.1
26/02/2022,0.2
27/02/2022,0.5
28/02/2022,0.2
01/03/2022,-0.2
02/03/2022,0.5
03/03/2022,0.8
04/03/2022,0.8
05/03/2022,0.6
06/03/2022,0.6
07/03/2022,0.3
08/03/2022,0.6
09/03/2022,0.7
10/03/2022,1.1
11/03/2022,0.8
12/03/2022,0.7
13/03/2022,0.6
14/03/2022,0.4
15/03/2022,0.6
16/03/2022,0.6
17/03/2022,1.1
18/03/2022,1.1
19/03/2022,0.6
20/03/2022,0.7
21/03/2022,0.6
22/03/2022,0.2
23/03/2022,0.1
24/03/2022,0.0
25/03/2022,0.2
26/03/2022,0.5
27/03/2022,0.4
28/03/2022,0.2
29/03/2022,0.6
30/03/2022,0.4
31/03/2022,0.4
01/04/2022,0.5
02/04/2022,0.1
03/04/2022,0.1
04/04/2022,0.1
05/04/2022,0.1
06/04/2022,0.1
07/04/2022,0.1
08/04/2022,0.1
09/04/2022,0.1
10/04/2022,-0.1
11/04/2022,0.0
12/04/2022,0.4
13/04/2022,0.2
14/04/2022,0.3
15/04/2022,0.1
16/04/2022,-0.3
17/04/2022,-0.6
18/04/2022,-0.3
19/04/2022,-0.5
20/04/2022,-0.8
21/04/2022,-1.0
22/04/2022,-0.7
23/04/2022,-0.5
24/04/2022,-0.1
25/04/2022,-0.7
26/04/2022,-0.5
27/04/2022,-0.3
28/04/2022,-0.6
29/04/2022,-0.5
30/04/2022,-1.1
01/05/2022,-1.2
02/05/2022,-1.2
03/05/2022,-1.6
04/05/2022,-1.2
05/05/2022,-1.4
06/05/2022,-1.4
07/05/2022,-0.8
08/05/2022,-1.2
09/05/2022,-1.1
10/05/2022,-1.1
11/05/2022,-1.2
12/05/2022,-0.9
13/05/2022,-1.2
14/05/2022,-1.3
15/05/2022,-1.6
16/05/2022,-1.6
17/05/2022,-1.8
18/05/2022,-1.8
19/05/2022,-1.4
20/05/2022,-1.3
21/05/2022,-1.4
22/05/2022,-0.5
23/05/2022,-1.2
24/05/2022,-1.2
25/05/2022,-1.2
26/05/2022,-1.2
27/05/2022,-1.2
28/05/2022,-1.2
29/05/2022,-1.2
30/05/2022,-1.2
31/05/2022,-1.2
01/06/2022,-1.2
02/06/2022,-2.1
03/06/2022,-1.9
04/06/2022,-1.7
05/06/2022,-1.9
06/06/2022,-1.2
07/06/2022,-1.6
08/06/2022,-2.1
09/06/2022,-2.4
10/06/2022,-2.3
11/06/2022,-2.3
12/06/2022,-2.1
13/06/2022,-2.4
14/06/2022,-2.4
15/06/2022,-2.0
16/06/2022,-2.0
17/06/2022,-1.6
18/06/2022,-1.7
19/06/2022,-1.5
20/06/2022,-1.4
21/06/2022,-1.6
22/06/2022,-1.8
23/06/2022,-2.1
24/06/2022,-2.1
25/06/2022,-2.1
26/06/2022,-2.1
27/06/2022,-2.4
28/06/2022,-2.4
29/06/2022,-2.8
30/06/2022,-2.9
01/07/2022,-2.2
02/07/2022,-2.2
03/07/2022,-2.2
04/07/2022,-2.2
05/07/2022,-2.2
06/07/2022,-2.2
07/07/2022,-2.2
08/07/2022,-3.5
09/07/2022,-3.5
10/07/2022,-3.2
11/07/2022,-3.1
12/07/2022,-2.6
13/07/2022,-2.6
14/07/2022,-2.5
15/07/2022,-2.8
16/07/2022,-3.0
17/07/2022,-2.7
18/07/2022,-2.7
19/07/2022,-2.7
20/07/2022,-2.7
21/07/2022,-2.7
22/07/2022,-2.7
23/07/2022,-2.7
24/07/2022,-2.7
25/07/2022,-2.7
26/07/2022,-2.7
27/07/2022,-2.7
28/07/2022,-2.7
29/07/2022,-2.7
30/07/2022,-2.7
31/07/2022,-2.7
01/08/2022,-2.7
02/08/2022,-2.7
03/08/2022,-2.7
04/08/2022,-2.7
05/08/2022,-2.7
06/08/2022,-2.7
07/08/2022,-2.7
08/08/2022,-2.7
09/08/2022,-2.7
10/08/2022,-2.7
11/08/2022,-2.7
12/08/2022,-2.7
13/08/2022,-2.7
14/08/2022,-2.7
15/08/2022,-2.7
16/08/2022,-2.7
17/08/2022,-2.7
18/08/2022,-3.1
19/08/2022,-3.6
20/08/2022,-4.2
21/08/2022,-4.2
22/08/2022,-4.2
23/08/2022,-3.6
24/08/2022,-3.5
25/08/2022,-3.1
26/08/2022,-3.3
27/08/2022,-3.2
28/08/2022,-3.4
29/08/2022,-3.8
30/08/2022,-3.8
31/08/2022,-3.4
01/09/2022,-3.9
02/09/2022,-4.0
03/09/2022,-4.3
04/09/2022,-4.0
05/09/2022,-4.4
06/09/2022,-4.1
07/09/2022,-4.1
08/09/2022,-4.1
09/09/2022,-4.0
10/09/2022,-4.0
11/09/2022,-4.0
12/09/2022,-4.3
13/09/2022,-4.4
14/09/2022,-4.2
15/09/2022,-4.3
16/09/2022,-4.5
17/09/2022,-4.7
18/09/2022,-4.7
19/09/2022,-4.2
20/09/2022,-4.4
21/09/2022,-4.3
22/09/2022,-4.0
23/09/2022,-3.8
24/09/2022,-3.4
25/09/2022,-4.4
26/09/2022,-4.3
27/09/2022,-4.7
28/09/2022,-4.8
29/09/2022,-4.8
30/09/2022,-4.4
01/10/2022,-4.7
02/10/2022,-4.5
03/10/2022,-4.4
04/10/2022,-4.5
05/10/2022,-4.7
06/10/2022,-4.4
07/10/2022,-4.3
08/10/2022,-4.6
09/10/2022,-3.9
10/10/2022,-4.3
11/10/2022,-4.6
12/10/2022,-4.5
13/10/2022,-4.7
14/10/2022,-4.8
15/10/2022,-4.9
16/10/2022,-4.6
17/10/2022,-4.4
18/10/2022,-4.6
19/10/2022,-4.2
20/10/2022,-4.5
21/10/2022,-4.7
22/10/2022,-4.5
23/10/2022,-4.8
24/10/2022,-5.1
25/10/2022,-5.0
26/10/2022,-5.3
27/10/2022,-5.1
28/10/2022,-5.1
29/10/2022,-5.3
30/10/2022,-5.5
31/10/2022,-5.2
01/11/2022,-5.1
02/11/2022,-5.0
03/11/2022,-5.1
04/11/2022,-4.9
05/11/2022,-5.0
06/11/2022,-5.1
07/11/2022,-5.2
08/11/2022,-5.3
09/11/2022,-5.1
10/11/2022,-5.0
11/11/2022,-4.9
12/11/2022,-5.1
13/11/2022,-5.2
14/11/2022,-5.4
15/11/2022,-5.4
16/11/2022,-5.1
17/11/2022,-4.6
18/11/2022,-5.1
19/11/2022,-4.9
20/11/2022,-4.8
